Garder/Exclure,Nb de hits (à fin févr. 2026),disaron:nom_old,disaron:nom,dc:title,disaron:Complement_titre,disaron:chapeau,disaron:Auteur,disaron:categorie,disaron:collection,disaron:sous_collection,disaron:theme,disaron:annees_reference,disaron:descripteur,disaron:niveau_geographique,disaron:Date_premiere_publication,disaron:date_derniere_publication,ecm:versionLabel,disaron:Numerotation,url,nb de fichiers,noms des fichiers,urls des fichiers,disaron:date_modification,disaron:donnees,trouvé Estelle ?,lost,collection,themes,themes_codes,theme_principal,OrdreEstelle,THEME Agreste2.0,Collection Agreste 2.0,Sous-Collection Agreste 2.0,Fichiers manquants
Garder,151,Ana1,Ana1,Présidentielles américaines 2008 : la future politique agricole sous le signe de la continuité,,"Dans un contexte économique tendu, la campagne électorale américaine montre deux visions différentes du futur de l’agriculture, la plupart du temps abordé sous l’angle économique.",,NATIONAL,ANALYSE,,COMPINT|AIDE|PROSP,2008,,PAYS,2008/10/01 00:00,2020/12/15 10:03,0.2,1,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana1/detail/,,,,2008/10/01 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana1.pdf\""}]",,0,,"Aides, PAC, Politiques publiques",AIDPOLITIQ,"Aides, PAC, Politiques publiques",1024,Études & prospective,Prospective,Analyse,
Garder,40,Ana10,Ana10,La consommation alimentaire à l’épreuve de la crise,,La consommation alimentaire des Français n’est pas épargnée par la crise économique actuelle : son volume en est affecté et encore plus sa structure.,,NATIONAL,ANALYSE,,ALIMCOMP|ANAECO|ANASOC,2009,,FRANCE,2009/07/01 00:00,,0.1,10,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana10/detail/,,,,2009/07/01 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana10.pdf\""}]",,0,,"Alimentation, consommation|Aides, PAC, Politiques publiques",ALIMCOMP|AIDPOLITIQ,"Alimentation, consommation",294,Études & prospective,Évaluation,Analyse,
Garder,914,Ana100,Ana100,MOND’Alim 2030 : un regard prospectif sur la mondialisation des systèmes alimentaires,,"Dans cette note sont repris les principaux enseignements de l'exercice de prospective MOND’Alim 2030, piloté par le CEP avec l'appui d'un groupe d'une trentaine d'experts.",,NATIONAL,ANALYSE,,PROSP|AGROALIM|ALIMCOMP|IAAFIL,2017,,MOND,2017/03/01 00:00,2020/12/22 10:28,0.2,100,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana100/detail/,,,,2017/03/01 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana100.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)|Alimentation, consommation|Marchés, filières",AIDPOLITIQ|IAA|ALIMCOMP|IAAFIL,Industries agro-alimentaires (IAA),2661,Études & prospective,Prospective,Analyse,
Garder,246,Ana100-en,Ana100-en,MOND’Alim 2030 : a forward look at food system globalization,,"The globalization of food systems is not limited to trade and culinary influences. As a centuries-long, but partly reversible, phenomenon, it is increasingly contributing to the interpenetration of different geographical levels: local regions, nations, continents, world. As an economic process that is also cultural, political and legal, it is radically transforming the ways in which food is produced and consumed, changing the risk landscape and complicating the interplay between actors. The MOND’Alim 2030 strategic foresight exercise led by the Centre for Studies and Strategic Foresight is aimed at characterizing the present phase of globalization, documenting the dynamics at work, looking at their possible extrapolation to 2030 and identifying certain potential breakpoints. In six thematic sections, this paper summarizes the main lessons of the results produced by that exercise.",,PUBENGL,ANALYSE,,PROSP|AGROALIM|ALIMCOMP|IAAFIL,2017,,MOND,2017/03/01 13:00,2020/12/03 16:52,0.2,100,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana100-en/detail/,,,,2017/03/01 13:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-12-03T15:16:23.344Z\""\,\""Fichier\"":\""Ana100Eng.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)|Alimentation, consommation|Marchés, filières",AIDPOLITIQ|IAA|ALIMCOMP|IAAFIL,Industries agro-alimentaires (IAA),2662,Études & prospective,Prospective,Analyse,
Garder,764,Ana101,Ana101,La démarche évaluative de la politique agro-écologique : premiers outils et perspectives,,"Cette note présente la démarche d’évaluation de la politique agro-écologique et ses acquis après deux années de travail, en particulier en matière d’indicateurs de résultats et d’impacts.",,NATIONAL,ANALYSE,,AGROENV|EVALPOL|AUTPRA,2017,,FRANCE,2017/03/01 00:00,,0.1,101,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana101/detail/,,,,2017/03/01 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana101.pdf\""}]",,0,,"Agriculture et environnement|Aides, PAC, Politiques publiques|Pratiques culturales",AGROENV|AIDPOLITIQ|PRACULT,Agriculture et environnement,171,Études & prospective,Évaluation,Analyse,
Garder,2987,Ana102,Ana102,La mondialisation par le commerce des produits alimentaires : tendances structurelles et exploration prospective,,"L’exercice MOND’Alim 2030, piloté par le Centre d’études et de prospective, vise à caractériser la phase de mondialisation actuelle et à documenter les principales dynamiques à l’œuvre.","[{nom_auteur=Claquin, prenom_auteur=Pierre, Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,PROSP|COMEXT|COMMER,2017,,FRANCE,2017/07/04 00:00,2020/02/04 23:04,0.1,102,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana102/detail/,,,,2017/07/04 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1021706.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Commerce extérieur, approvisionnements|Exploitations, spécialisation",AIDPOLITIQ|COMEXTAPPRO|EXPLOITSPEC,"Commerce extérieur, approvisionnements",2686,Études & prospective,Prospective,Analyse,
Garder,36,Ana102-en,Ana102-en,Globalization through trade in food products: structural trends and an explorative prospective analysis,,"The MOND’Alim 2030 exercise led by the Centre for Studies and Strategic Foresight is aimed at characterizing the current phase in globalization and documenting the main dynamics at work. One of its chapters is devoted to international trade, which plays a major role in supply system globalization. The present Analysis draws out the main characteristics and trends in agrifood trade: increasing numbers of flows, countries and products, an expanding role for private-sector actors, value chain segmentation and an important role for public policies, increasing interdependency, etc. Based on data from retrospective analysis, this paper also formulates hypotheses for the next fifteen years.","[{nom_auteur=Claquin, prenom_auteur=Pierre, Structure=SSP. Centre d’études et de prospective (CEP)}]",PUBENGL,ANALYSE,,PROSP|COMEXT|COMMER,2017,,FRANCE,2017/07/04 14:00,2020/12/03 16:52,0.1,102,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana102-en/detail/,,,,2017/07/04 14:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-12-03T15:16:53.699Z\""\,\""Fichier\"":\""Ana102Eng.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Commerce extérieur, approvisionnements|Exploitations, spécialisation",AIDPOLITIQ|COMEXTAPPRO|EXPLOITSPEC,"Commerce extérieur, approvisionnements",2687,Études & prospective,Prospective,Analyse,
Garder,669,Ana103,Ana103,Les conduites alimentaires comme reflets de la mondialisation : tendances d’ici 2030,,"L’exercice MOND’Alim 2030, piloté par le Centre d’études et de prospective, vise à caractériser la phase de mondialisation actuelle et à documenter les dynamiques à l’œuvre.","[{nom_auteur=Gassie, prenom_auteur=Julie, Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,PROSP|ALIMCOMP|ANASOC,2017,,FRANCE,2017/07/13 00:00,2020/02/04 23:19,0.1,103,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana103/detail/,,,,2017/07/13 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1031707.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Alimentation, consommation",AIDPOLITIQ|ALIMCOMP,"Alimentation, consommation",2667,Études & prospective,Prospective,Analyse,
Garder,399,Ana103-en,Ana103-en,Food behaviours as reflections of globalisation: trends to 2030,,"The MOND’Alim 2030 exercise led by the Centre for Studies and Strategic Foresight is aimed at characterising the current phase in globalisation and documenting the main dynamics at work. One of its chapters is devoted to food behaviours. This paper draws out the characteristics and trends in their globalisation, whether they have been in place for many years or are just emerging: convergence in the broad balances of the food ration, the spread and reinterpretation of food products and dishes, the increasingly individualised and secondary nature of food intake, etc.","[{nom_auteur=Gassie, prenom_auteur=Julie, Structure=SSP. Centre d’études et de prospective (CEP)}]",PUBENGL,ANALYSE,,PROSP|ALIMCOMP|ANASOC,2017,,FRANCE,2017/07/13 14:00,2020/12/03 16:52,0.1,103,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana103-en/detail/,,,,2017/07/13 14:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-12-03T15:17:22.675Z\""\,\""Fichier\"":\""Ana103Eng.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Alimentation, consommation",AIDPOLITIQ|ALIMCOMP,"Alimentation, consommation",2668,Études & prospective,Prospective,Analyse,
Garder,1361,Ana104,Ana104,Mesures agro-environnementales et paiements pour services environnementaux : regards croisés sur deux instruments,,"Cette publication présente les principaux enseignements d’une étude commandée par le MAA, qui par un regard croisé sur les MAE et les PSE vise à dégager des pistes susceptibles de rendre les MAE plus efficaces et attractives.","[{nom_auteur= Lise Duval et Solenn Leplay (Oréade-Brèche), prenom_auteur=Elise Delgoulet (CEP), Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,AGROENV|ANAECO|EVALPOL,2017,,FRANCE,2017/09/21 00:00,2020/02/04 23:19,0.1,104,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana104/detail/,,,,2017/09/21 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1041709.pdf\""}]",,0,,"Agriculture et environnement|Aides, PAC, Politiques publiques",AGROENV|AIDPOLITIQ,Agriculture et environnement,132,Études & prospective,Évaluation,Analyse,
Garder,345,Ana105,Ana105,Les formations par alternance sous statut scolaire dans l’enseignement agricole : enjeux et perspectives,,"La formation par alternance sous statut scolaire représente un tiers des inscrits de l’enseignement technique agricole. Cette étude permet de mieux connaître les caractéristiques de ce dispositif, ses atouts et fragilités.","[{nom_auteur=Dominique Vial (Amnyos), prenom_auteur=Madeleine Lesage (CEP), Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,AGROFORM|ANASOC|EVALPOL,2017,,FRANCE,2017/10/23 00:00,2020/02/04 23:19,0.1,105,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana105/detail/,,,,2017/10/23 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1051710.pdf\""}]",,0,,"Formation|Aides, PAC, Politiques publiques",AGROFORM|AIDPOLITIQ,Formation,226,Études & prospective,Évaluation,Analyse,
Garder,1134,Ana106,Ana106,Évaluation des paramètres de l’indemnité compensatoire de handicaps naturels (ICHN) : principaux résultats,,L’indemnité compensatoire de handicaps naturels (ICHN) corrige pour partie les conséquences économiques de la localisation des exploitations en montagne ou dans une autre « zone défavorisée ».,"[{nom_auteur=, prenom_auteur=, Structure=}]",NATIONAL,ANALYSE,,EVALPOL|AGROENV|ANAECO,2017,,FRANCE,2017/11/22 00:00,2020/02/04 23:18,0.1,106,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana106/detail/,,,,2017/11/22 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1061711.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Agriculture et environnement",AIDPOLITIQ|AGROENV,Agriculture et environnement,1131,Études & prospective,Évaluation,Analyse,
Garder,2442,Ana107,Ana107,Les chocs de prix des matières premières agricoles : déterminants et anticipation,,"Cette note analyse les mouvements extrêmes des prix des matières premières agricoles qui ont eu lieu depuis 2007, en présente les déterminants et tente de définir des indicateurs permettant d’anticiper ces chocs de prix.","[{nom_auteur=Steve Ohana (ESCP Europe et Labex Refi), prenom_auteur= Jean-Noël Depeyrot (CEP), Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,ANAECO|AGROALIM,2017,,FRANCE,2017/11/24 00:00,2020/02/04 23:28,0.2,107,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana107/detail/,,,,2017/11/24 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1071711.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)",AIDPOLITIQ|IAA,"Aides, PAC, Politiques publiques",364,Études & prospective,Veille,Analyse,
Garder,1326,Ana108,Ana108,Les transformations du paysage laitier français avant la sortie des quotas,,"Cette note analyse la mutation rapide des exploitations laitières françaises, entre restructuration et concentration géographique, et les transformations de ces systèmes de production ainsi que leurs conséquences sur l’emploi.","[{nom_auteur=Depeyrot, prenom_auteur=Jean-Noël, Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,LAIT|TAILLE|ANAECO,2017,,FRANCE,2017/12/20 00:00,2020/02/04 23:19,0.1,108,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana108/detail/,,,,2017/12/20 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1081712.pdf\""}]",,0,,"Bovins, ovins, caprins, lait|Exploitations, spécialisation|Aides, PAC, Politiques publiques",CHEPTLAIT|EXPLOITSPEC|AIDPOLITIQ,"Bovins, ovins, caprins, lait",1951,Études & prospective,Évaluation,Analyse,
