disaron:nom,dc:title,disaron:Complement_titre,disaron:chapeau,disaron:Auteur,disaron:categorie,disaron:sous_collection,disaron:theme,disaron:annees_reference,disaron:descripteur,disaron:niveau_geographique,disaron:Date_premiere_publication,disaron:date_derniere_publication,ecm:versionLabel,disaron:date_modification,disaron:Numerotation,url,nb de fichiers,noms des fichiers,urls des fichiers,disaron:donnees,trouvé Estelle ?,A
IraAbo090,"Bovins. En mai 2019, nouvelle hausse des abattages de veaux de boucheries","Abattages en mai 2019. Production, consommation, commerce extérieur en avril 2019","En mai 2019, le repli sur un an des abattages de gros bovins se poursuit, bien qu’à un rythme plus faible qu’au cours des mois précédents, tandis que les abattages de veaux de boucheries augmentent sur un an, pour le second mois consécutif.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,BOVIN,2019,BOVIN| ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/06/28 00:00,2019/10/17 13:16,0.1,2019/06/28 00:00,2019-090,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo090/detail/,1,"[""2019_090_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo090/2019_090_InforapBovins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-10-15T00:00:00.000Z\""\,\""Fichier\"":\""2019_090_InforapBovins.pdf\""}]",COMPLEMENT-Irap,
IraAbo172,"Ovins. En octobre 2020, net repli des abattages d’ovins de réforme","Abattages en octobre 2020, production-consommation-commerce extérieur en septembre 2020","En octobre 2020, les abattages d’agneaux sont en léger repli (- 0,9 %) sur un an alors que ceux d’ovins de réforme reculent nettement (- 8,6 %). Les cours des agneaux restent à des niveaux particulièrement élevés à cette période de l’année en lien avec l’offre limitée dans les exploitations. En septembre 2020, les importations de viande ovine dépassent de 0,5 % le niveau de 2019. Depuis le début de l’année, elles sont néanmoins en retrait de 11 % par rapport à 2019, conséquence de la crise sanitaire liée au Covid-19 et de la baisse de la demande en viande ovine qui en a découlé. La part des importations dans la consommation indigène de viande ovine est en retrait.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,CAPOV,2020,OVIN,FRANCE,2020/11/27 11:00,2020/11/27 11:00,0.3,2020/11/27 11:00,2020-172,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo172/detail/,1,"[""2020_172_InforapOvins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo172/2020_172_InforapOvins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-11-26T13:36:09.823Z\""\,\""Fichier\"":\""2020_172_InforapOvins.pdf\""}]",COMPLEMENT-Irap,
IraAbo18075,"Porcins : Au 1er trimestre 2018, la production porcine française est en hausse","Abattages en mars 2018. Production, consommation, commerce extérieur en février 2018","En avril 2018, les abattages de porcs sont supérieurs de 2,6 % à la moyenne 2013-2017.","[{nom_auteur=Ugliera , prenom_auteur=Christelle, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,PORC,2018,ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| PORCIN| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2018/06/01 00:00,2019/10/17 12:29,0.1,2018/06/01 00:00,2018-075,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo18075/detail/,1,"[""IRPorcins_mai_2018.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo18075/IRPorcins_mai_2018.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-10-15T00:00:00.000Z\""\,\""Fichier\"":\""IRPorcins_mai_2018.pdf\""}]",COMPLEMENT-Irap,
IraAbo191,"Ovins : En octobre 2018, hausse de la production ovine","Abattages en novembre 2018. Production, consommation, commerce extérieur en octobre 2018","En novembre 2018, les abattages d’agneaux augmentent alors que ceux d’ovins de réforme sont en retrait sur un an.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,CAPOV,2018,ABATTAGE D'ANIMAUX| OVIN| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2018/12/21 00:00,2019/10/17 13:17,0.1,2018/12/21 00:00,2018-191,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo191/detail/,1,"[""2018_191_Inforapovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo191/2018_191_Inforapovins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-10-15T00:00:00.000Z\""\,\""Fichier\"":\""2018_191_Inforapovins.pdf\""}]",COMPLEMENT-Irap,
IraAbo2085,"Bovins. En mai 2020, hausse des abattages de bovins sur un an.","Abattages en mars 2020, production-consommation-commerce extérieur en avril 2020","En mai 2020, les abattages de bovins repartent à la hausse à l’exception de ceux de vaches laitières en repli de 3 % sur un an. Les cours des vaches de type « O » et de type « R » se redressent par rapport au mois précédent sans toutefois retrouver leur niveau de 2019. En revanche, les cours des bovins mâles et des veaux de boucherie continuent de baisser. Ceux des veaux reculent de 45 cts/kg carcasse entre avril et mai 2020. En avril 2020, la production de bovins finis recule. La demande italienne en bovins maigres se maintient alors que les demandes algérienne et espagnole s’effondrent. La demande italienne et l’offre réduite d’animaux dans les exploitations contribuent à soutenir les cours qui restent néanmoins inférieurs à ceux de 2019. En avril 2020, les importations de viande bovine chutent pour le second mois consécutif (- 49 %). La baisse de la demande européenne se traduit par une baisse des exportations de 14 % sur un an. Après un repli en mars de 12 % sur un an, la consommation calculée de viande bovine recule à nouveau de 13 % en avril.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2020,BOVIN,FRANCE,2020/06/26 12:00,2020/06/26 12:00,0.1,2020/06/26 12:00,2020-85,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo2085/detail/,1,"[""2020_85_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo2085/2020_85_InforapBovins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-06-25T13:04:07.848Z\""\,\""Fichier\"":\""2020_85_InforapBovins.pdf\""}]",COMPLEMENT-Irap,
IraAbo21046,"Porcins. En mars 2021, les cours du porc se redressent","Abattages en mars 2021,  production-consommation-commerce extérieur en février 2021","Après plusieurs mois moroses, les cours du porc se redressent en mars 2021, stimulés par la demande asiatique de viande porcine européenne. En parallèle, le coût de l’alimentation animale est sur une tendance haussière. En mars 2021, les abattages de porcs se redressent et retrouvent leur niveau moyen. En février 2021, les exportations françaises de viande porcine bénéficient de l’appel d’air de la Chine qui ne faiblit pas, tandis que la demande européenne et la consommation française se replient. En parallèle, les importations reculent nettement. L’excédent commercial des échanges de viande porcine se confirme en valeur.","[{nom_auteur=Ugliera, prenom_auteur=Christelle, Structure=SSP}]",NATIONAL,INFANIM,PORC,2021,PORCIN,FRANCE,2021/04/30 14:00,2021/04/30 12:00,0.2,2021/04/30 14:00,2021-46,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo21046/detail/,1,"[""2021_46_InforapPorcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21046/2021_46_InforapPorcins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2022-02-08T10:48:06.901Z\""\,\""Fichier\"":\""2021_46_InforapPorcins.pdf\""}]",COMPLEMENT-Irap,
IraAbo21109,"Bovins. En juillet 2021, des abattages de bovins en repli sur un an","Abattages en juillet 2021, production-consommation-commerce extérieur en juin 2021","En juillet 2021, les abattages de bovins toutes catégories confondues sont en repli en têtes et en poids, sur un an. Les cours des bovins finis de plus de 8 mois sont soutenus par une offre limitée. Les cours des veaux de boucherie sont en baisse modérée sur un an. En juin 2021, la production de bovins finis est en baisse de 5,0 % sur un an. Les exportations de bovins maigres progressent vers l’Italie mais reculent vers l’Espagne et l’Algérie. Les cours des broutards sont en retrait, en juillet. En juin 2021, les importations et les exportations de viande bovine augmentent fortement par rapport au faible niveau de juin 2020. La consommation indigène de viande bovine est en repli de 4,5 % sur un an.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2021,BOVIN,FRANCE,2021/08/31 12:00,2021/08/31 12:00,0.2,2021/08/31 12:00,2021-109,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo21109/detail/,1,"[""2021_109_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21109/2021_109_InforapBovins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2021-08-30T09:26:46.256Z\""\,\""Fichier\"":\""2021_109_InforapBovins.pdf\""}]",COMPLEMENT-Irap,
IraAbo21145,"Porcins. En septembre 2021, la baisse des cours du porc reste contenue","Abattages en septembre 2021, production-consommation-commerce extérieur en août 2021","En septembre 2021, la baisse des cours du porc reste contenue","[{nom_auteur=Ugliera, prenom_auteur=Christelle, Structure=SSP}]",NATIONAL,INFANIM,PORC,2021,PORCIN,FRANCE,2021/10/29 12:00,2021/10/29 12:00,0.1,2021/10/29 12:00,2021-145,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo21145/detail/,1,"[""2021_145_InforapPorcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21145/2021_145_InforapPorcins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2021-10-28T09:27:35.553Z\""\,\""Fichier\"":\""2021_145_InforapPorcins.pdf\""}]",COMPLEMENT-Irap,
IraAbo22029,Porcins. Repli des abattages de porcs en février,"Abattages en février 2022, production-commercialisation-commerce extérieur en janvier 2022","En février 2022, les abattages de porcs en poids reculent de 1,6 % sur un an et de 1,1 % par rapport à la moyenne quinquennale. Les cours sont en hausse de 3 cts d’€/kg sur un an dans un contexte de hausse des coûts de production. En janvier, les importations de viande et graisse porcines européennes progressent fortement. Le solde commercial se dégrade, en volume et en valeur. La consommation de viande porcine est portée par la restauration hors domicile.","[{nom_auteur=Ugliera, prenom_auteur=Christelle, Structure=SSP}]",NATIONAL,INFANIM,PORC,2022,PORCIN,FRANCE,2022/03/25 11:00,2022/03/25 11:00,0.2,2022/03/25 11:00,2022-29,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo22029/detail/,1,"[""2022_29_InforapPorcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22029/2022_29_InforapPorcins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2022-03-24T09:43:36.203Z\""\,\""Fichier\"":\""2022_29_InforapPorcins.pdf\""}]",COMPLEMENT-Irap,
IraAbo22030,Ovins. Les abattages d’ovins se replient en février," Abattages en février 2022, production-consommation-commerce extérieur en janvier 2022","En février 2022, les abattages d’agneaux et d’ovins de réforme reculent sur un an, respectivement de - 4,3 % et de - 5,2 %. Les cours restent soutenus. En janvier, les importations de viande ovine destinée au marché français sont en hausse de 18,4 % par rapport à leur niveau de 2021. La consommation de viande augmente sur un an.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,CAPOV,2022,OVIN,FRANCE,2022/03/25 00:00,,,,2022-30,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo22030/detail/,1,"[""2022_30_InforapOvins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22030%20/2022_30_InforapOvins.pdf""]",,COMPLEMENT-Irap,
